ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,ESTRATO,LLAVE_PANEL,CCDD,AREA,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,D341_T,D344,D347_T,D350,D351_T,I339_1,I342,I345_1,I348,INGTOT,INGTOTP,ingtrabw,RESIDENT,Informal_P,DIVISION_LIMA,FAC300_ANUAL
2025,01,0003302,3,0002,1,3,20231000033023000213,24,1,3,5,1,2,,2,14,3,3,1,9,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,2,2,3,,,2,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,5,4,,,,,,,,,,,,,1,,,11.973791618990225
2025,01,0003302,3,0004,1,3,20231000033023000411,24,1,1,1,1,2,,1,42,1,1,29,11,1982,1,,,,,,,,,,,,,,,,4417,8610,3,2,,,5,9998,12,0,12,0,0,12,0,36,9,45,1,,2,,2,2,4,3500,,,,,,493,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,,,,,83,3500,,,493,3993,3500,4076,1,2,,14.633824163272175
2025,01,0003302,3,0004,1,3,20231000033023000412,24,1,2,2,1,2,,2,37,2,2,13,1,1988,1,,,,,,,,,,,,,,,,2221,8610,3,2,,,5,9998,0,0,12,0,12,0,12,36,,36,1,,2,,2,2,4,4000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,12,1,,2,2,2,2,2,2,10,7,1,,,,,83,4000,,,,4000,4000,4083,1,2,,13.786807176887976
2025,01,0003302,3,0004,1,3,20231000033023000413,24,1,3,3,1,2,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2025,01,0003302,3,0004,1,3,20231000033023000414,24,1,4,3,1,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2025,01,0003302,3,0004,1,3,20231000033023000415,24,1,5,11,1,2,,2,19,5,5,7,2,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,,11.973791618990225
2025,01,0003302,3,0005,1,3,20231000033023000511,24,1,1,1,1,2,,2,87,1,1,29,5,1937,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,1,4,2,,2,,4,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,,,12.06062716540925
2025,01,0003302,3,0005,1,3,20231000033023000512,24,1,2,3,1,2,,1,57,2,2,23,10,1967,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,13,3,5,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,,,8.874220168797525
2025,01,0003302,3,0032,1,3,20231000033023003211,24,1,1,1,1,2,,1,30,1,1,25,3,1994,1,,,,,,,,,,,,,,,,8321,4922,2,,3,2,1,1,5,10,10,10,10,10,10,65,,65,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,4,,2,2,2,2,2,2,10,7,1,,,,,,,1280,,,1280,1280,1280,1,1,,
2025,01,0003302,3,0032,1,3,20231000033023003212,24,1,2,2,1,2,,2,34,2,2,21,3,1990,1,,,,,,,,,,,,,,,,5142,9602,2,,3,2,1,1,0,8,8,8,8,8,6,46,,46,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,5,1,,,,,,,1249,,,1249,1249,1249,1,1,,
